video,clip_start_frame,mse,regularity_score
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,293,0.00484131,0.26767095
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,294,0.00486470,0.26190043
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,295,0.00487391,0.25962817
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,296,0.00489646,0.25406545
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,297,0.00491090,0.25050389
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,298,0.00493288,0.24508223
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,299,0.00494394,0.24235234
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,300,0.00495113,0.24057793
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,301,0.00494721,0.24154560
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,302,0.00495454,0.23973823
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,303,0.00494392,0.24235716
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,304,0.00494376,0.24239679
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,305,0.00492597,0.24678599
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,306,0.00491207,0.25021511
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,307,0.00488404,0.25712848
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,308,0.00484336,0.26716322
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,309,0.00480402,0.27686886
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,310,0.00477322,0.28446697
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,311,0.00474760,0.29078703
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,312,0.00471784,0.29812726
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,313,0.00469959,0.30262904
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,314,0.00468274,0.30678597
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,315,0.00466440,0.31130946
